axis1,axis2,axis3,axis4,axis5
2.228402,107.8237,252.616,98.11192,127.0887
5.320199,107.4816,260.5199,107.4578,231.5028
59.21072,143.8225,338.7276,139.2191,13.00581
80.78719,167.8458,354.2844,226.9579,137.0345
112.5543,205.444,15.69221,238.473,163.0773
115.0666,207.5804,18.71525,241.6353,169.0486
115.0666,207.5804,18.71525,241.6353,169.0486
117.5859,209.6822,21.95363,244.741,175.3748
120.0575,211.722,25.25921,248.0372,182.0005
122.5875,213.7466,27.88331,244.3515,181.0626
127.035,217.9687,32.46466,235.085,176.9122
129.2601,220.1779,34.77324,229.0792,173.475
129.2601,220.1779,34.77324,229.0792,173.475
131.6068,222.4577,37.26452,222.2898,169.3128
134.1622,224.827,40.17715,214.8844,164.7916
136.7979,227.2474,43.41768,206.8515,160.0336
136.7979,227.2474,43.41768,206.8515,160.0336
136.7979,227.2474,43.41768,206.8515,160.0336
139.4566,229.686,47.01198,198.1577,155.1035
139.4566,229.686,47.01198,198.1577,155.1035
139.4566,229.686,47.01198,198.1577,155.1035
142.1176,232.1148,51.00708,188.7858,150.0867
142.1176,232.1148,51.00708,188.7858,150.0867
142.1176,232.1148,51.00708,188.7858,150.0867
142.1176,232.1148,51.00708,188.7858,150.0867
142.1176,232.1148,51.00708,188.7858,150.0867
144.7536,234.5026,55.43576,178.7654,145.1059
144.7536,234.5026,55.43576,178.7654,145.1059
144.7536,234.5026,55.43576,178.7654,145.1059
144.7536,234.5026,55.43576,178.7654,145.1059
144.7536,234.5026,55.43576,178.7654,145.1059
144.7536,234.5026,55.43576,178.7654,145.1059
147.3463,236.864,60.21408,175.7006,146.9027
147.3463,236.864,60.21408,175.7006,146.9027
147.3463,236.864,60.21408,175.7006,146.9027
149.8593,239.12,64.89584,173.438,149.4859
149.8593,239.12,64.89584,173.438,149.4859
149.8593,239.12,64.89584,173.438,149.4859
149.8593,239.12,64.89584,173.438,149.4859
152.2417,241.2804,69.32279,172.213,152.8027
154.468,243.3399,73.48042,171.9765,156.8144
154.468,243.3399,73.48042,171.9765,156.8144
154.468,243.3399,73.48042,171.9765,156.8144
154.468,243.3399,73.48042,171.9765,156.8144
156.5376,245.2893,77.37955,172.4353,161.2588
156.5376,245.2893,77.37955,172.4353,161.2588
156.5376,245.2893,77.37955,172.4353,161.2588
157.4885,246.5346,79.32782,174.9165,166.5438
158.0401,247.2858,80.03587,179.0136,172.0729
158.0401,247.2858,80.03587,179.0136,172.0729
158.2415,247.6081,79.78115,184.6385,177.7995
158.2415,247.6081,79.78115,184.6385,177.7995
158.2415,247.6081,79.78115,184.6385,177.7995
